segment_km,health_score,severity,surveys_present,compounded,score_cipl,score_ili,score_dcvg,score_cat,score_soil,score_dci
151.5,100.0,Healthy,3,False,,100.0,100.0,100.0,,
151.6,100.0,Healthy,4,False,100.0,100.0,100.0,100.0,,
151.7,100.0,Healthy,3,False,,100.0,100.0,100.0,,
151.8,100.0,Healthy,3,False,,100.0,100.0,100.0,,
151.9,100.0,Healthy,3,False,,100.0,100.0,100.0,,
152.0,95.6,Healthy,5,False,,100.0,100.0,100.0,65.0,82.0
152.1,89.3,Healthy,3,False,,100.0,100.0,30.5,,
152.2,89.3,Healthy,3,False,,100.0,100.0,30.5,,
152.3,89.3,Healthy,3,False,,100.0,100.0,30.5,,
152.4,91.8,Healthy,4,False,100.0,100.0,100.0,30.5,,
152.5,89.3,Healthy,3,False,,100.0,100.0,30.5,,
152.6,89.3,Healthy,3,False,,100.0,100.0,30.5,,
152.7,89.3,Healthy,3,False,,100.0,100.0,30.5,,
152.8,89.3,Healthy,3,False,,100.0,100.0,30.5,,
152.9,89.3,Healthy,3,False,,100.0,100.0,30.5,,
153.0,89.0,Healthy,4,False,,100.0,100.0,30.5,85.0,
153.1,91.8,Healthy,4,False,100.0,100.0,100.0,30.5,,
153.2,89.3,Healthy,3,False,,100.0,100.0,30.5,,
153.3,79.6,Watch,3,False,,100.0,68.3,30.5,,
153.4,98.2,Healthy,3,False,,100.0,100.0,88.6,,
153.5,98.2,Healthy,3,False,,100.0,100.0,88.6,,
153.6,81.2,Healthy,3,False,,68.3,100.0,88.6,,
153.7,98.2,Healthy,3,False,,100.0,100.0,88.6,,
153.8,98.2,Healthy,3,False,,100.0,100.0,88.6,,
153.9,98.7,Healthy,4,False,100.0,100.0,100.0,88.6,,
154.0,93.0,Healthy,4,False,,100.0,100.0,88.6,25.0,
154.1,98.2,Healthy,3,False,,100.0,100.0,88.6,,
154.2,100.0,Healthy,1,False,,100.0,,,,
154.3,98.6,Healthy,3,False,,100.0,100.0,90.7,,
154.4,98.6,Healthy,3,False,,100.0,100.0,90.7,,
154.5,98.6,Healthy,3,False,,100.0,100.0,90.7,,
154.6,98.9,Healthy,4,False,100.0,100.0,100.0,90.7,,
154.7,98.6,Healthy,3,False,,100.0,100.0,90.7,,
154.8,98.6,Healthy,3,False,,100.0,100.0,90.7,,
154.9,98.6,Healthy,3,False,,100.0,100.0,90.7,,
155.0,97.6,Healthy,4,False,,100.0,100.0,90.7,85.0,
155.1,96.6,Healthy,3,False,,100.0,100.0,77.6,,
155.2,96.6,Healthy,3,False,,100.0,100.0,77.6,,
155.3,96.6,Healthy,3,False,,100.0,100.0,77.6,,
155.4,97.4,Healthy,4,False,100.0,100.0,100.0,77.6,,
155.5,96.6,Healthy,3,False,,100.0,100.0,77.6,,
155.6,96.6,Healthy,3,False,,100.0,100.0,77.6,,
155.7,96.6,Healthy,3,False,,100.0,100.0,77.6,,
155.8,96.6,Healthy,3,False,,100.0,100.0,77.6,,
155.9,96.6,Healthy,3,False,,100.0,100.0,77.6,,
156.0,94.3,Healthy,4,False,,100.0,100.0,77.6,65.0,
156.1,99.3,Healthy,4,False,100.0,100.0,100.0,94.4,,
156.2,99.1,Healthy,3,False,,100.0,100.0,94.4,,
156.3,99.1,Healthy,3,False,,100.0,100.0,94.4,,
156.4,99.1,Healthy,3,False,,100.0,100.0,94.4,,
156.5,99.1,Healthy,3,False,,100.0,100.0,94.4,,
156.6,99.1,Healthy,3,False,,100.0,100.0,94.4,,
156.7,99.1,Healthy,3,False,,100.0,100.0,94.4,,
156.8,99.1,Healthy,3,False,,100.0,100.0,94.4,,
156.9,99.3,Healthy,4,False,100.0,100.0,100.0,94.4,,
157.0,96.7,Healthy,4,False,,100.0,100.0,94.4,65.0,
157.1,99.6,Healthy,3,False,,100.0,100.0,97.4,,
157.2,99.6,Healthy,3,False,,100.0,100.0,97.4,,
157.3,99.6,Healthy,3,False,,100.0,100.0,97.4,,
157.4,99.6,Healthy,3,False,,100.0,100.0,97.4,,
157.5,99.6,Healthy,3,False,,100.0,100.0,97.4,,
157.6,99.7,Healthy,4,False,100.0,100.0,100.0,97.4,,
157.7,99.6,Healthy,3,False,,100.0,100.0,97.4,,
157.8,99.6,Healthy,3,False,,100.0,100.0,97.4,,
157.9,99.6,Healthy,3,False,,100.0,100.0,97.4,,
158.0,91.6,Healthy,5,False,,100.0,100.0,97.4,65.0,52.5
158.1,99.6,Healthy,3,False,,100.0,100.0,97.4,,
158.2,99.6,Healthy,3,False,,100.0,100.0,97.4,,
158.3,99.5,Healthy,3,False,,100.0,100.0,96.7,,
158.4,99.6,Healthy,4,False,100.0,100.0,100.0,96.7,,
158.5,99.5,Healthy,3,False,,100.0,100.0,96.7,,
158.6,99.5,Healthy,3,False,,100.0,100.0,96.7,,
158.7,99.5,Healthy,3,False,,100.0,100.0,96.7,,
158.8,99.5,Healthy,3,False,,100.0,100.0,96.7,,
158.9,99.5,Healthy,3,False,,100.0,100.0,96.7,,
159.0,95.6,Healthy,4,False,,100.0,100.0,96.7,45.0,
159.1,99.6,Healthy,4,False,100.0,100.0,100.0,96.7,,
159.2,99.5,Healthy,3,False,,100.0,100.0,96.7,,
159.3,99.5,Healthy,3,False,,100.0,100.0,96.7,,
159.4,99.5,Healthy,3,False,,100.0,100.0,96.7,,
159.5,70.7,Watch,3,False,,100.0,54.7,0.0,,
159.6,100.0,Healthy,1,False,,100.0,,,,
